CD4-positive type I NK T-lymphocyte	cell_phenotype	CL:0000923
CD4-positive type I NK T-lymphocyte secreting interferon-gamma	cell_phenotype	CL:0000926
CD4-positive type I NK T-lymphocyte secreting interleukin-4	cell_phenotype	CL:0000927
CD4-positive type I NKT cell	cell_phenotype	CL:0000923
CD4-positive type I NKT cell secreting interferon-gamma	cell_phenotype	CL:0000926
CD4-positive type I NKT cell secreting interleukin-4	cell_phenotype	CL:0000927
CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell	cell_phenotype	CL:0001047
CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T lymphocyte	cell_phenotype	CL:0001047
CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T-cell	cell_phenotype	CL:0001047
CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T-lymphocyte	cell_phenotype	CL:0001047
CD4-positive, CD25-positive, alpha-beta regulatory T cell	cell_phenotype	CL:0000792
CD4-positive, CD25-positive, alpha-beta regulatory T lymphocyte	cell_phenotype	CL:0000792
CD4-positive, CD25-positive, alpha-beta regulatory T-cell	cell_phenotype	CL:0000792
CD4-positive, CD25-positive, alpha-beta regulatory T-lymphocyte	cell_phenotype	CL:0000792
CD4-positive, CD8-intermediate double-positive thymocyte	cell_phenotype	CL:0002431
CD4-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell	cell_phenotype	CL:0001051
CD4-positive, CXCR3-negative, CCR6-negative, alpha-beta T lymphocyte	cell_phenotype	CL:0001051
CD4-positive, CXCR3-negative, CCR6-negative, alpha-beta T-cell	cell_phenotype	CL:0001051
CD4-positive, CXCR3-negative, CCR6-negative, alpha-beta T-lymphocyte	cell_phenotype	CL:0001051
CD4-positive, alpha-beta T cell	cell_phenotype	CL:0000624
CD4-positive, alpha-beta T lymphocyte	cell_phenotype	CL:0000624
CD4-positive, alpha-beta T-cell	cell_phenotype	CL:0000624
CD4-positive, alpha-beta T-lymphocyte	cell_phenotype	CL:0000624
CD4-positive, alpha-beta cytotoxic T cell	cell_phenotype	CL:0000934
CD4-positive, alpha-beta cytotoxic T lymphocyte	cell_phenotype	CL:0000934
CD4-positive, alpha-beta cytotoxic T-cell	cell_phenotype	CL:0000934
CD4-positive, alpha-beta cytotoxic T-lymphocyte	cell_phenotype	CL:0000934
CD4-positive, alpha-beta immature T lymphocyte	cell_phenotype	CL:0000810
CD4-positive, alpha-beta immature T-cell	cell_phenotype	CL:0000810
CD4-positive, alpha-beta immature T-lymphocyte	cell_phenotype	CL:0000810
CD4-positive, alpha-beta intraepithelial T cell	cell_phenotype	CL:0000793
