CD8-positive, alpha-beta memory T lymphocyte, CD45RO-positive	CL:0001203
CD8-positive, alpha-beta memory T-cell	CL:0000909
CD8-positive, alpha-beta memory T-cell, CD45RO-positive	CL:0001203
CD8-positive, alpha-beta memory T-lymphocyte	CL:0000909
CD8-positive, alpha-beta memory T-lymphocyte, CD45RO-positive	CL:0001203
CD8-positive, alpha-beta regulatory T cell	CL:0000795
CD8-positive, alpha-beta regulatory T lymphocyte	CL:0000795
CD8-positive, alpha-beta regulatory T-cell	CL:0000795
CD8-positive, alpha-beta regulatory T-lymphocyte	CL:0000795
CD8-positive, alpha-beta thymocyte	CL:0000811
CD8-positive, gamma-delta intraepithelial T lymphocyte	CL:0000802
CD8-positive, gamma-delta intraepithelial T-cell	CL:0000802
CD8-positive, gamma-delta intraepithelial T-lymphocyte	CL:0000802
CD86+ plasmablast	CL:0001202
CD86-positive plasmablast	CL:0001202
CD8_alpha-low Langerhans cell	CL:0001015
CD8_alpha-negative CD11b-negative dendritic cell	CL:0000998
CD8_alpha-negative plasmacytoid dendritic cell	CL:0002455
CD8_alpha-positive CD11b-negative dendritic cell	CL:0001000
CD8_alpha-positive plasmacytoid dendritic cell	CL:0002456
CD8aa(I) thymocyte	CL:0009068
CD8aa(II) thymocyte	CL:0009069
CD8alpha-alpha-positive thymic conventional dendritic cell	CL:0002059
CD8alpha-negative thymic conventional dendritic cell	CL:0002460
CD8alpha-positive thymic conventional dendritic cell	CL:0002059
CD9-positive, CD41-positive megakaryocyte cell	CL:0002027
CD94- Ly49I-negative NK cell	CL:0002442
CD94-negative natural killer cell, mouse	CL:0002447
CD94-negative, Ly49CI-negative natural killer cell, mouse	CL:0002442
CD94-positive Ly49CI-positive natural killer cell, mouse	CL:0002449
CD94-positive natural killer cell, mouse	CL:0002441
CDP	CL:0001029
CFU-EM	CL:0000050
CFU-Hill	CL:0009085
CFU-Meg	CL:0000553
CFU-MegE	CL:0000050
CNS interneuron	CL:0000402
CNS long range interneuron	CL:0000410
CNS macrophage	CL:0000878
CNS neuron (sensu Nematoda and Protostomia)	CL:0000028
CNS neuron (sensu Vertebrata)	CL:0000117
CNS short range interneuron	CL:0000406
COP	CL:4023059
CR cells	CL:0000695
CT VAL/VM M1	CL:4023055
CT VAL/VM MOp	CL:4023055
